mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.014045095443725586,0.0016467111059728218,0.005007028579711914,0.0006338048224804543,gini,2,2,4,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 4, 'random_state': 1}",,,,,,,,1
0.013150835037231445,0.0003195632145288588,0.004669618606567383,0.0004751036461804042,gini,2,2,4,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 4, 'random_state': 2}",,,,,,,,1
0.015216398239135741,0.0004480454249870288,0.005051469802856446,8.771077022620847e-05,gini,2,2,5,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 1}",,,,,,,,1
0.015919256210327148,0.00016489870062092076,0.02989540100097656,0.050271175017440266,gini,2,2,5,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 2}",,,,,,,,1
0.018058967590332032,0.0003336051178271556,0.0052090644836425785,0.00041588559316623375,gini,2,2,6,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 6, 'random_state': 1}",,,,,,,,1
0.017606306076049804,0.00046612892934607477,0.0051955699920654295,0.00039010343129694297,gini,2,2,6,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 6, 'random_state': 2}",,,,,,,,1
0.019122219085693358,0.0004355168527862691,0.0056308269500732425,0.0005352956947504941,gini,2,2,7,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 7, 'random_state': 1}",,,,,,,,1
0.019000720977783204,0.00027717939032595906,0.00577850341796875,0.0003442739647753384,gini,2,2,7,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 7, 'random_state': 2}",,,,,,,,1
0.021903800964355468,0.0006352740488816869,0.005757951736450195,0.00039190551279632673,gini,2,2,8,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 8, 'random_state': 1}",,,,,,,,1
0.021488475799560546,0.0004398568179611339,0.005980062484741211,2.9775951162016847e-05,gini,2,2,8,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 8, 'random_state': 2}",,,,,,,,1
0.012404346466064453,0.00042204704678749905,0.0042647838592529295,0.0004420764314326823,gini,2,5,4,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 4, 'random_state': 1}",,,,,,,,1
0.012053537368774413,0.00011670782079850567,0.004233884811401367,0.0003882712961542081,gini,2,5,4,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 4, 'random_state': 2}",,,,,,,,1
0.01438593864440918,0.000429743811057965,0.004716396331787109,0.0003760943773920988,gini,2,5,5,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 5, 'random_state': 1}",,,,,,,,1
0.014243125915527344,0.0003473559873306695,0.004222679138183594,0.00037050628905619076,gini,2,5,5,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 5, 'random_state': 2}",,,,,,,,1
0.016593217849731445,0.0004262923660961007,0.005065250396728516,5.659745729234499e-05,gini,2,5,6,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 6, 'random_state': 1}",,,,,,,,1
0.01662578582763672,0.0003956719230212725,0.005027580261230469,9.12444317881587e-05,gini,2,5,6,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 6, 'random_state': 2}",,,,,,,,1
0.018491411209106447,0.0006234954020394502,0.005753421783447265,0.0003873748475674038,gini,2,5,7,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 7, 'random_state': 1}",,,,,,,,1
0.018183088302612303,0.000720713843998914,0.005418062210083008,0.00046050638353801863,gini,2,5,7,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 7, 'random_state': 2}",,,,,,,,1
0.020918846130371094,0.00042235970732487437,0.005984830856323242,4.079937543026088e-05,gini,2,5,8,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 8, 'random_state': 1}",,,,,,,,1
0.021315288543701173,0.00018642371774544813,0.0058803558349609375,0.0001369901786263333,gini,2,5,8,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 8, 'random_state': 2}",,,,,,,,1
0.012241125106811523,0.0003841727869265604,0.004205846786499023,0.0003982494902491507,gini,2,8,4,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 8, 'n_estimators': 4, 'random_state': 1}",,,,,,,,1
0.012013053894042969,4.2445364408789986e-05,0.004231691360473633,0.0003879865759401875,gini,2,8,4,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 8, 'n_estimators': 4, 'random_state': 2}",,,,,,,,1
0.014525508880615235,0.00044717733273722996,0.004667425155639648,0.00040423223166322027,gini,2,8,5,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 8, 'n_estimators': 5, 'random_state': 1}",,,,,,,,1
0.014461946487426759,0.0005078082101668213,0.004645156860351563,0.00043285943023566254,gini,2,8,5,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 8, 'n_estimators': 5, 'random_state': 2}",,,,,,,,1
