mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01779937744140625,0.002312606201327595,0.006248188018798828,0.000922387732347018,gini,2,2,4,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 4, 'random_state': 1}",,,,,,,,1
0.016400766372680665,0.003441895825146819,0.0051997661590576175,0.00039966121704416324,gini,2,2,4,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 4, 'random_state': 2}",,,,,,,,1
0.015624427795410156,0.0005117272022370883,0.005108451843261719,0.00028334226477504245,gini,2,2,5,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 1}",,,,,,,,1
0.023023176193237304,0.005377529725878178,0.00800771713256836,0.002193722031259342,gini,2,2,5,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 2}",,,,,,,,1
0.02479248046875,0.002181928965039332,0.007208251953125,0.0009546193399713791,gini,2,2,6,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 6, 'random_state': 1}",,,,,,,,1
0.023028135299682617,0.0036803573401726743,0.0071848869323730465,0.0007954548765974815,gini,2,2,6,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 6, 'random_state': 2}",,,,,,,,1
0.023226404190063478,0.002063735656230075,0.0063397884368896484,0.0009129608335817891,gini,2,2,7,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 7, 'random_state': 1}",,,,,,,,1
0.023798084259033202,0.002406533611548332,0.007001018524169922,0.0006327870845129054,gini,2,2,7,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 7, 'random_state': 2}",,,,,,,,1
0.022946739196777345,0.0036215395815498096,0.006264925003051758,0.0008468276201281261,gini,2,2,8,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 8, 'random_state': 1}",,,,,,,,1
0.02500324249267578,0.0012652223448834342,0.006389236450195313,0.0004769630647373591,gini,2,2,8,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 8, 'random_state': 2}",,,,,,,,1
0.015117597579956055,0.001979596795439849,0.005394124984741211,0.0008122550946409563,gini,2,5,4,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 4, 'random_state': 1}",,,,,,,,1
0.01668515205383301,0.0017215201977662973,0.006108856201171875,0.0010889843764043106,gini,2,5,4,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 4, 'random_state': 2}",,,,,,,,1
0.016993379592895506,0.0004996425618338877,0.005675601959228516,0.00040951571903197735,gini,2,5,5,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 5, 'random_state': 1}",,,,,,,,1
0.021771001815795898,0.004428578377550321,0.006600046157836914,0.001356417475828785,gini,2,5,5,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 5, 'random_state': 2}",,,,,,,,1
0.019063949584960938,0.001199165990028345,0.00574188232421875,0.0006596099698662292,gini,2,5,6,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 6, 'random_state': 1}",,,,,,,,1
0.02098193168640137,0.0017940783838406033,0.006600666046142578,0.0010196656445776045,gini,2,5,6,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 6, 'random_state': 2}",,,,,,,,1
0.028800058364868163,0.003919240209195088,0.0075927734375,0.0013580567261945124,gini,2,5,7,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 7, 'random_state': 1}",,,,,,,,1
0.02041912078857422,0.00047718345465203537,0.005379438400268555,0.0005106933755806358,gini,2,5,7,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 7, 'random_state': 2}",,,,,,,,1
0.026753664016723633,0.002087162012744829,0.006971025466918945,5.6514276508409575e-05,gini,2,5,8,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 8, 'random_state': 1}",,,,,,,,1
0.025374078750610353,0.0007457396952131527,0.006832933425903321,0.00034540800126574094,gini,2,5,8,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 8, 'random_state': 2}",,,,,,,,1
0.014540386199951173,0.0005134717358877636,0.004816484451293945,0.0004645321408744029,gini,2,8,4,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 8, 'n_estimators': 4, 'random_state': 1}",,,,,,,,1
0.014800596237182616,0.0011601704446865665,0.004839754104614258,0.0008137115745455513,gini,2,8,4,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 8, 'n_estimators': 4, 'random_state': 2}",,,,,,,,1
0.024275588989257812,0.005337265622159334,0.008534908294677734,0.0018337959827235632,gini,2,8,5,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 8, 'n_estimators': 5, 'random_state': 1}",,,,,,,,1
