mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01899561882019043,0.0028261536123077363,0.0064642906188964845,0.001090194885639995,gini,2,2,4,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 4, 'random_state': 1}",,,,,,,,1
0.016700315475463866,0.0011596883439482586,0.0056243896484375,0.0007836852365182953,gini,2,2,4,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 4, 'random_state': 2}",,,,,,,,1
0.01886725425720215,0.0002871673548477111,0.005981016159057617,6.708429448207075e-05,gini,2,2,5,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 1}",,,,,,,,1
0.01877174377441406,0.0003475717890103275,0.006634044647216797,0.0004938864063362228,gini,2,2,5,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 2}",,,,,,,,1
0.02358999252319336,0.002716776014261048,0.04005241394042969,0.06705463928085201,gini,2,2,6,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 6, 'random_state': 1}",,,,,,,,1
0.021912240982055665,0.0007355575320758035,0.0065937995910644535,0.00044259139358085876,gini,2,2,6,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 6, 'random_state': 2}",,,,,,,,1
0.025391817092895508,0.0009654889460321197,0.007596731185913086,0.0004734390533552918,gini,2,2,7,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 7, 'random_state': 1}",,,,,,,,1
0.02554464340209961,0.001014732955718251,0.007978391647338868,0.0008874273678218587,gini,2,2,7,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 7, 'random_state': 2}",,,,,,,,1
0.027842187881469728,0.0007922182448199453,0.00760197639465332,0.00044542060593735853,gini,2,2,8,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 8, 'random_state': 1}",,,,,,,,1
0.027950620651245116,0.0011152742407393023,0.008131170272827148,0.0007822280768127627,gini,2,2,8,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 8, 'random_state': 2}",,,,,,,,1
0.016390037536621094,0.0008515745269079955,0.005523538589477539,0.0004658456120556458,gini,2,5,4,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 4, 'random_state': 1}",,,,,,,,1
0.016743803024291994,0.000806293954764057,0.006157493591308594,0.0009880598962426128,gini,2,5,4,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 4, 'random_state': 2}",,,,,,,,1
0.0181671142578125,0.00040372201902032635,0.0059414863586425785,0.0001878723638253841,gini,2,5,5,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 5, 'random_state': 1}",,,,,,,,1
0.018118667602539062,0.0001586208966307369,0.005811214447021484,0.0004065392078745979,gini,2,5,5,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 5, 'random_state': 2}",,,,,,,,1
0.02104358673095703,0.00022636075149091745,0.006277608871459961,0.000383142689088444,gini,2,5,6,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 6, 'random_state': 1}",,,,,,,,1
0.021032047271728516,0.000324553192976501,0.0063056468963623045,0.0004067328274242158,gini,2,5,6,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 6, 'random_state': 2}",,,,,,,,1
0.024364423751831055,0.0008790770664180817,0.006956148147583008,0.0004514061358052411,gini,2,5,7,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 7, 'random_state': 1}",,,,,,,,1
