mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.021401405334472656,0.002400191166090562,0.00723872184753418,0.0006874638985179612,gini,2,2,4,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 4, 'random_state': 1}",,,,,,,,1
0.020286178588867186,0.0010545729512783635,0.007621335983276367,0.00035443763044826275,gini,2,2,4,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 4, 'random_state': 2}",,,,,,,,1
0.024730920791625977,0.0009846798732210365,0.007769393920898438,0.0003489978099419464,gini,2,2,5,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 1}",,,,,,,,1
0.0214388370513916,0.004432929673260618,0.006592416763305664,0.001217475192093359,gini,2,2,5,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 2}",,,,,,,,1
0.02360401153564453,0.0025830439656259665,0.006630468368530274,0.00046751509814825585,gini,2,2,6,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 6, 'random_state': 1}",,,,,,,,1
0.01947188377380371,0.001687970336221112,0.006522130966186523,0.0006675112287906088,gini,2,2,6,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 6, 'random_state': 2}",,,,,,,,1
0.021666526794433594,0.0012132332373811481,0.005794715881347656,0.00039985306069005176,gini,2,2,7,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 7, 'random_state': 1}",,,,,,,,1
0.023309326171875,0.0024540817937100854,0.006828832626342774,0.0011614139469066252,gini,2,2,7,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 7, 'random_state': 2}",,,,,,,,1
0.025112104415893555,0.00347074878143727,0.006325674057006836,0.0008444715717136768,gini,2,2,8,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 8, 'random_state': 1}",,,,,,,,1
0.0270566463470459,0.004133358405522202,0.007338666915893554,0.0009332637637742464,gini,2,2,8,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 8, 'random_state': 2}",,,,,,,,1
0.014880037307739258,0.0009512008371727178,0.005651140213012695,0.0005379119775568258,gini,2,5,4,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 4, 'random_state': 1}",,,,,,,,1
0.015259838104248047,0.001184666932108154,0.00540776252746582,0.0005094029155055409,gini,2,5,4,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 4, 'random_state': 2}",,,,,,,,1
0.017880916595458984,0.001002846417772747,0.005600452423095703,0.0004901761673119133,gini,2,5,5,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 5, 'random_state': 1}",,,,,,,,1
0.015975379943847658,8.102059693190197e-05,0.005002832412719727,6.801653763944988e-05,gini,2,5,5,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 5, 'random_state': 2}",,,,,,,,1
0.019540882110595702,0.0016158458618804128,0.00542755126953125,0.00046521383688112085,gini,2,5,6,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 6, 'random_state': 1}",,,,,,,,1
0.019384431838989257,0.0014012794461839106,0.005408525466918945,0.0004995912588577435,gini,2,5,6,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 6, 'random_state': 2}",,,,,,,,1
0.02209477424621582,0.0009847521273232344,0.006117486953735351,0.00038282418000388504,gini,2,5,7,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 7, 'random_state': 1}",,,,,,,,1
0.020598316192626955,0.0004965598093998231,0.005801725387573242,0.00040052253238332514,gini,2,5,7,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 7, 'random_state': 2}",,,,,,,,1
0.023049545288085938,0.00010181086385524114,0.006265163421630859,0.00040901300333715657,gini,2,5,8,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 8, 'random_state': 1}",,,,,,,,1
0.023638486862182617,0.0005225842225776963,0.006017446517944336,3.148461549439438e-05,gini,2,5,8,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 8, 'random_state': 2}",,,,,,,,1
