mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.014412403106689453,0.0026051862007980095,0.005010843276977539,0.0012689912850839835,gini,2,2,4,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 4, 'random_state': 1}",,,,,,,,1
0.012056970596313476,0.0005472951863642803,0.004141902923583985,0.0002902367046197405,gini,2,2,4,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 4, 'random_state': 2}",,,,,,,,1
0.014841938018798828,0.0004138356652393278,0.004702711105346679,0.0004699470687085047,gini,2,2,5,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 1}",,,,,,,,1
0.014439773559570313,0.0004925646001130327,0.004787349700927734,0.0003936253223436792,gini,2,2,5,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 2}",,,,,,,,1
0.018387317657470703,0.0020349556162333896,0.005999994277954101,0.0012637639717685968,gini,2,2,6,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 6, 'random_state': 1}",,,,,,,,1
0.020146560668945313,0.0011139081805118904,0.005774354934692383,0.00038439447830627136,gini,2,2,6,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 6, 'random_state': 2}",,,,,,,,1
0.02090291976928711,0.0012053227004871054,0.0056092262268066405,0.0004977459919406426,gini,2,2,7,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 7, 'random_state': 1}",,,,,,,,1
0.019997358322143555,3.9605337705670744e-05,0.005811834335327148,0.0003748281174587458,gini,2,2,7,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 7, 'random_state': 2}",,,,,,,,1
0.022032928466796876,6.798975559728173e-05,0.005836963653564453,0.00036884286581434327,gini,2,2,8,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 8, 'random_state': 1}",,,,,,,,1
0.021535730361938475,0.00046123284321316276,0.005791187286376953,0.00030439205415397114,gini,2,2,8,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 8, 'random_state': 2}",,,,,,,,1
0.012988090515136719,5.7689216930853234e-05,0.003989553451538086,1.4866005434675579e-05,gini,2,5,4,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 4, 'random_state': 1}",,,,,,,,1
0.012818574905395508,0.0003527506776499752,0.004200601577758789,0.00039784980804606797,gini,2,5,4,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 4, 'random_state': 2}",,,,,,,,1
0.01463313102722168,0.0003967943446399056,0.004578018188476562,0.0004740743612058595,gini,2,5,5,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 5, 'random_state': 1}",,,,,,,,1
0.014710140228271485,0.0004206890632894264,0.004486703872680664,0.00044897667594819625,gini,2,5,5,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 5, 'random_state': 2}",,,,,,,,1
0.017189884185791017,0.0009807929802133054,0.005609369277954102,0.0004805768376421424,gini,2,5,6,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 6, 'random_state': 1}",,,,,,,,1
0.017441272735595703,0.0008788145435730986,0.0054018497467041016,0.0004883267429884872,gini,2,5,6,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 6, 'random_state': 2}",,,,,,,,1
0.019467830657958984,0.00044014923916532413,0.0053619384765625,0.00046276872026291594,gini,2,5,7,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 7, 'random_state': 1}",,,,,,,,1
0.018842029571533202,0.0002372918877472062,0.005017852783203125,2.0881221287330594e-05,gini,2,5,7,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 7, 'random_state': 2}",,,,,,,,1
0.02125720977783203,0.00040007496893909865,0.0057256221771240234,0.0006714334356516261,gini,2,5,8,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 8, 'random_state': 1}",,,,,,,,1
0.02120347023010254,0.0004098756525199989,0.005983114242553711,2.714414108557855e-05,gini,2,5,8,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 8, 'random_state': 2}",,,,,,,,1
0.0123077392578125,0.0003832748618443526,0.003935337066650391,0.00011793774521682696,gini,2,8,4,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 8, 'n_estimators': 4, 'random_state': 1}",,,,,,,,1
0.011839151382446289,0.00019536787091978985,0.004199028015136719,0.00039851763559985886,gini,2,8,4,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 8, 'n_estimators': 4, 'random_state': 2}",,,,,,,,1
0.01470775604248047,0.0005844597035677661,0.004633712768554688,0.0005189929977465959,gini,2,8,5,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 8, 'n_estimators': 5, 'random_state': 1}",,,,,,,,1
