mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.013338422775268555,0.0015657561793933276,0.0051915645599365234,0.00041788956813035153,gini,2,2,4,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 4, 'random_state': 1}",,,,,,,,1
0.012052059173583984,0.00010367782070712519,0.004145479202270508,0.00043108464803759476,gini,2,2,4,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 4, 'random_state': 2}",,,,,,,,1
0.01437830924987793,0.0005009985312969663,0.004800558090209961,0.0004058995470146677,gini,2,2,5,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 1}",,,,,,,,1
0.014516115188598633,0.000446569645755731,0.0045773983001708984,0.0005204249109690416,gini,2,2,5,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 2}",,,,,,,,1
0.016266822814941406,0.0004343610154732971,0.005132293701171875,0.00020938639040953789,gini,2,2,6,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 6, 'random_state': 1}",,,,,,,,1
0.016223049163818358,0.0003903038585620947,0.004946565628051758,5.139756040730561e-05,gini,2,2,6,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 6, 'random_state': 2}",,,,,,,,1
0.019271421432495116,0.00048118167581684,0.0053905010223388675,0.0004518162944377869,gini,2,2,7,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 7, 'random_state': 1}",,,,,,,,1
0.020207929611206054,0.0007457322069092015,0.005862760543823242,0.0004491082212115231,gini,2,2,7,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 7, 'random_state': 2}",,,,,,,,1
0.022663640975952148,0.0005423756456653926,0.006044721603393555,0.00011590866777755335,gini,2,2,8,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 8, 'random_state': 1}",,,,,,,,1
0.022380304336547852,0.00025609890791438605,0.005923604965209961,0.000225956149045876,gini,2,2,8,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 8, 'random_state': 2}",,,,,,,,1
0.012875509262084962,0.00025315798026561234,0.004426193237304687,0.0004959303916153985,gini,2,5,4,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 4, 'random_state': 1}",,,,,,,,1
0.012413692474365235,0.00036196687635793286,0.004234457015991211,0.00039038843646272146,gini,2,5,4,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 4, 'random_state': 2}",,,,,,,,1
0.014710140228271485,0.0003787182101855027,0.004824161529541016,0.00041285460518046546,gini,2,5,5,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 5, 'random_state': 1}",,,,,,,,1
0.014486026763916016,0.0004741126042476654,0.0045678138732910155,0.0004286948880125358,gini,2,5,5,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 5, 'random_state': 2}",,,,,,,,1
0.016193914413452148,0.0002928231869248024,0.0050524711608886715,7.988930943900988e-05,gini,2,5,6,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 6, 'random_state': 1}",,,,,,,,1
0.01655302047729492,0.00042619785757750517,0.004953241348266602,0.0004519349437085297,gini,2,5,6,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 6, 'random_state': 2}",,,,,,,,1
0.01851820945739746,0.00034419904906549847,0.005504751205444336,0.00043407365741225055,gini,2,5,7,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 7, 'random_state': 1}",,,,,,,,1
0.01880536079406738,0.000404465791418283,0.005273962020874023,0.0004297644345386917,gini,2,5,7,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 7, 'random_state': 2}",,,,,,,,1
0.02102370262145996,0.0005449391845868766,0.005712699890136719,0.0004250353856100135,gini,2,5,8,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 8, 'random_state': 1}",,,,,,,,1
0.020979928970336913,0.0008356953325119108,0.005624628067016602,0.0004857353291298298,gini,2,5,8,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5, 'n_estimators': 8, 'random_state': 2}",,,,,,,,1
0.012234354019165039,0.00038615165732163755,0.004178428649902343,0.0004158753966816696,gini,2,8,4,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 8, 'n_estimators': 4, 'random_state': 1}",,,,,,,,1
0.011997461318969727,8.071812316446263e-05,0.004198265075683594,0.0004085131421226908,gini,2,8,4,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 8, 'n_estimators': 4, 'random_state': 2}",,,,,,,,1
0.014200973510742187,0.00040005905544781255,0.004516172409057617,0.0004457789492738645,gini,2,8,5,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 8, 'n_estimators': 5, 'random_state': 1}",,,,,,,,1
0.014424657821655274,0.0005146677007569994,0.004696369171142578,0.00042140970470095485,gini,2,8,5,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 8, 'n_estimators': 5, 'random_state': 2}",,,,,,,,1
0.016176128387451173,0.00041834632434694795,0.004740142822265625,0.0004081674992161483,gini,2,8,6,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 8, 'n_estimators': 6, 'random_state': 1}",,,,,,,,1
0.01615176200866699,0.0003217396173720695,0.0050090312957763675,6.562942471517105e-05,gini,2,8,6,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 8, 'n_estimators': 6, 'random_state': 2}",,,,,,,,1
0.018288707733154295,0.0003625424491677567,0.004955101013183594,5.706157082189067e-05,gini,2,8,7,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 8, 'n_estimators': 7, 'random_state': 1}",,,,,,,,1
0.018396902084350585,0.00037915818100253104,0.005116891860961914,0.0001752434230037028,gini,2,8,7,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 8, 'n_estimators': 7, 'random_state': 2}",,,,,,,,1
0.02110295295715332,0.00017306511516902584,0.005989789962768555,0.00021216242287239772,gini,2,8,8,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 8, 'n_estimators': 8, 'random_state': 1}",,,,,,,,1
0.021230316162109374,0.000425718137221582,0.0055773258209228516,0.00047341271038044456,gini,2,8,8,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 8, 'n_estimators': 8, 'random_state': 2}",,,,,,,,1
0.01228032112121582,0.0003768689531201566,0.004209661483764648,0.0003504644963159332,gini,2,10,4,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 4, 'random_state': 1}",,,,,,,,1
0.011813592910766602,0.0003276914460999128,0.004011964797973633,0.00010334653120022025,gini,2,10,4,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 4, 'random_state': 2}",,,,,,,,1
0.013903570175170899,0.00015732081331867927,0.004229879379272461,0.00039212768575160425,gini,2,10,5,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 5, 'random_state': 1}",,,,,,,,1
0.013993072509765624,2.252236727107797e-05,0.004498004913330078,0.0004275096831647565,gini,2,10,5,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 5, 'random_state': 2}",,,,,,,,1
0.016251802444458008,0.00038133019637342326,0.004957675933837891,8.334862554686885e-05,gini,2,10,6,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 6, 'random_state': 1}",,,,,,,,1
0.016013193130493163,2.2028844569744544e-05,0.004997920989990234,3.815889172314178e-06,gini,2,10,6,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 6, 'random_state': 2}",,,,,,,,1
0.019058609008789064,0.00015114651830505903,0.0051800251007080075,0.00042490773216100096,gini,2,10,7,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 7, 'random_state': 1}",,,,,,,,1
0.018383312225341796,0.0004393883881387812,0.005337810516357422,0.0004973023537543079,gini,2,10,7,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 7, 'random_state': 2}",,,,,,,,1
0.020604801177978516,0.0004537661017786685,0.005449438095092773,0.0005123153961311475,gini,2,10,8,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 8, 'random_state': 1}",,,,,,,,1
0.020444774627685548,0.0005502731919820476,0.005608510971069336,0.0004920902039318414,gini,2,10,8,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 8, 'random_state': 2}",,,,,,,,1
