mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.006603622436523437,0.0007785813502369698,0.0044176578521728516,0.0013560714758111213,entropy,2,2,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 2}",,,,,,,,1
0.005636262893676758,0.00042593243673289135,0.0028951168060302734,0.0003495261581045221,entropy,2,3,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 3}",,,,,,,,1
0.005419445037841797,0.0005697636476286503,0.0030855178833007813,9.648285871650691e-05,entropy,2,4,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 4}",,,,,,,,1
0.005540180206298828,0.00045808014758065774,0.002830219268798828,0.0004184503601712579,entropy,2,5,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 5}",,,,,,,,1
0.005339670181274414,0.00042895162393372506,0.002666950225830078,0.0004939977956708674,entropy,2,6,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 6}",,,,,,,,1
0.005195760726928711,0.0004286503916396377,0.0029375553131103516,0.00012458314129824453,entropy,2,7,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 7}",,,,,,,,1
0.005321979522705078,0.00043611535352401117,0.0031563758850097655,0.0003195353504289576,entropy,2,8,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 8}",,,,,,,,1
0.005708932876586914,0.0002625640931862083,0.003030538558959961,0.00020908409521210795,entropy,2,9,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 9}",,,,,,,,1
0.005441093444824218,0.0004590349773069861,0.003135967254638672,0.0007101313832084494,entropy,2,10,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 10}",,,,,,,,1
0.005200529098510742,0.0002558865028747124,0.0030095577239990234,0.00025104473325828327,entropy,2,11,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 11}",,,,,,,,1
0.005232763290405273,0.00023094289366352587,0.0033000946044921876,0.0005594349703269522,entropy,2,12,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 12}",,,,,,,,1
0.0055160999298095705,0.0003992029427583383,0.0030223369598388673,0.00013132571472866593,entropy,2,13,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 13}",,,,,,,,1
0.005496311187744141,0.000363773858311459,0.002781057357788086,0.0003934851330679124,entropy,2,14,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 14}",,,,,,,,1
0.006317996978759765,0.0005020840911001218,0.0028357505798339844,0.0004223732194754549,entropy,3,2,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 2}",,,,,,,,1
0.006064319610595703,9.180751258418819e-05,0.0030143260955810547,5.092187748755196e-05,entropy,3,3,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 3}",,,,,,,,1
0.006249618530273437,0.000460030990544209,0.003122377395629883,0.00026275490184157985,entropy,3,4,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 4}",,,,,,,,1
0.006099891662597656,0.0002039402702190187,0.003049135208129883,0.0001249346113867443,entropy,3,5,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 5}",,,,,,,,1
0.006000614166259766,0.00020708058940390448,0.0030188560485839844,8.876653816771239e-05,entropy,3,6,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 6}",,,,,,,,1
0.005995321273803711,0.00010930283052176031,0.002782106399536133,0.0003468610310140568,entropy,3,7,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 7}",,,,,,,,1
0.006085348129272461,0.00017839149165742142,0.0027407169342041015,0.00038668575952916477,entropy,3,8,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 8}",,,,,,,,1
0.0056765079498291016,0.00046065633479536183,0.0024278640747070314,0.00042302138651072765,entropy,3,9,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 9}",,,,,,,,1
0.006083011627197266,5.2073805225886174e-05,0.003015422821044922,5.660030956256286e-05,entropy,3,10,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 10}",,,,,,,,1
0.006064558029174804,0.00013962550872231847,0.003017139434814453,4.661833783181222e-05,entropy,3,11,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 11}",,,,,,,,1
0.00608983039855957,0.0001018656988092077,0.00255126953125,0.0004348762568667798,entropy,3,12,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 12}",,,,,,,,1
0.005728387832641601,0.0004965637473058282,0.002595663070678711,0.00052392320827976,entropy,3,13,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 13}",,,,,,,,1
0.005592155456542969,0.0004539246913281233,0.002655649185180664,0.00047678238077243976,entropy,3,14,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 14}",,,,,,,,1
0.006798601150512696,0.00039999491766111466,0.002619504928588867,0.0004510426599374812,entropy,4,2,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 2}",,,,,,,,1
0.006584882736206055,0.00047450062977274485,0.002785205841064453,0.0003932453522953635,entropy,4,3,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 3}",,,,,,,,1
0.006694698333740234,0.000456072559505229,0.002733802795410156,0.0003738956629425098,entropy,4,4,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 4}",,,,,,,,1
0.0066721439361572266,0.00032563910921547604,0.0032989978790283203,0.0003822578395236674,entropy,4,5,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 5}",,,,,,,,1
0.006913423538208008,0.00017962298153316797,0.0029390811920166015,0.0004729474108132408,entropy,4,6,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 6}",,,,,,,,1
0.00692143440246582,0.0003220555342474488,0.002919769287109375,0.00018950030612908668,entropy,4,7,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 7}",,,,,,,,1
0.007113313674926758,0.0003155745131115573,0.003222084045410156,0.0004121476982631671,entropy,4,8,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 8}",,,,,,,,1
0.0075187206268310545,0.00043301885051612245,0.0031115531921386717,0.00016697931782535703,entropy,4,9,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 9}",,,,,,,,1
0.0072556018829345705,0.00045204518212154987,0.0031470298767089845,0.00034145781184405496,entropy,4,10,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 10}",,,,,,,,1
0.0073834419250488285,0.0005120324519880816,0.003199005126953125,0.00040573570836982813,entropy,4,11,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 11}",,,,,,,,1
0.007332515716552734,0.0004306953968210503,0.0029438495635986327,0.0005355234677958214,entropy,4,12,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 12}",,,,,,,,1
0.007306241989135742,0.00035029752594701214,0.003220081329345703,0.00040398315504255487,entropy,4,13,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 13}",,,,,,,,1
0.007628345489501953,0.00036283136270891947,0.003001117706298828,0.0001595428012689203,entropy,4,14,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 14}",,,,,,,,1
0.008437871932983398,0.00031366560660664087,0.0032827377319335936,0.00042399689784480637,entropy,5,2,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2}",,,,,,,,1
0.008765220642089844,0.00033779418245235296,0.00327448844909668,0.0003664575121684853,entropy,5,3,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 3}",,,,,,,,1
0.008378744125366211,0.0004893330471918072,0.0032308101654052734,0.00039507277966822484,entropy,5,4,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 4}",,,,,,,,1
0.008806800842285157,0.0004272362641923821,0.0031351566314697264,0.00011069026688008144,entropy,5,5,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5}",,,,,,,,1
0.008796977996826171,0.000231583534620923,0.0030279636383056642,0.00032253715849245393,entropy,5,6,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 6}",,,,,,,,1
0.008685541152954102,0.00033655903019878895,0.0029706954956054688,0.0001273362360757646,entropy,5,7,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 7}",,,,,,,,1
0.008254575729370116,0.0005195369054570635,0.002981758117675781,7.451709280352981e-05,entropy,5,8,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 8}",,,,,,,,1
0.008323907852172852,0.0004132760331673695,0.002828836441040039,0.0003448726848215306,entropy,5,9,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 9}",,,,,,,,1
0.008050346374511718,6.453028646965255e-05,0.002759981155395508,0.0003876189109692625,entropy,5,10,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10}",,,,,,,,1
0.008060121536254882,0.00014900849148344054,0.0029950618743896486,1.4570789124421626e-05,entropy,5,11,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 11}",,,,,,,,1
0.007905721664428711,0.0003977805183024241,0.0026940822601318358,0.0004664703558302592,entropy,5,12,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 12}",,,,,,,,1
0.007817459106445313,0.00040961975512398516,0.0023826122283935546,0.0005053084470411263,entropy,5,13,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 13}",,,,,,,,1
0.00845022201538086,0.0007817213660478379,0.0030150413513183594,0.0006635537294302328,entropy,5,14,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 14}",,,,,,,,1
0.009196186065673828,0.0005632466959472552,0.0027927398681640626,0.00042374569702248606,entropy,6,2,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 2}",,,,,,,,1
0.009246444702148438,0.00038485295147670426,0.002800607681274414,0.00040097396826222777,entropy,6,3,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 3}",,,,,,,,1
0.00901808738708496,6.178190466624264e-05,0.001981973648071289,5.44231860805784e-05,entropy,6,4,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 4}",,,,,,,,1
0.008817243576049804,0.00042072913791108316,0.003072309494018555,5.800629464886595e-05,entropy,6,5,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 5}",,,,,,,,1
0.008747100830078125,0.00047669799681375143,0.002404642105102539,0.00043925731737170213,entropy,6,6,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 6}",,,,,,,,1
0.008949947357177735,0.00044917863898040245,0.0027687549591064453,0.0004497622765166338,entropy,6,7,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 7}",,,,,,,,1
0.008831405639648437,0.000425689241733604,0.0029027462005615234,0.0002504235081297238,entropy,6,8,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 8}",,,,,,,,1
0.00896139144897461,0.00031951069337042304,0.002792692184448242,0.0003960908237358205,entropy,6,9,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 9}",,,,,,,,1
0.008826160430908203,0.00036688005889811337,0.002757835388183594,0.00044396149920159286,entropy,6,10,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 10}",,,,,,,,1
0.008651018142700195,0.00043374723548624515,0.0027702808380126952,0.0004030989276163406,entropy,6,11,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 11}",,,,,,,,1
0.008639669418334961,0.0005251102517448215,0.002782297134399414,0.00039204927693288195,entropy,6,12,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 12}",,,,,,,,1
0.008461380004882812,0.0005694663492074295,0.002575540542602539,0.0005234127390082707,entropy,6,13,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 13}",,,,,,,,1
0.008455419540405273,0.0005300248378536337,0.0026096343994140626,0.00045087979395199665,entropy,6,14,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 14}",,,,,,,,1
0.010001707077026366,5.7374706586713784e-05,0.002381134033203125,0.00046603884996315146,entropy,7,2,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 2}",,,,,,,,1
0.009910678863525391,0.0004000813966734261,0.0026599407196044923,0.0005865218502430826,entropy,7,3,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 3}",,,,,,,,1
0.009912395477294922,0.00010516109217317799,0.002811765670776367,0.00042385112197506535,entropy,7,4,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 4}",,,,,,,,1
