mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.007637405395507812,0.0004977507472750765,0.005362606048583985,0.003401213614146057,entropy,2,2,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 2}",,,,,,,,1
0.007348823547363281,0.0011750449974150486,0.003658437728881836,0.0007640060866343241,entropy,2,3,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 3}",,,,,,,,1
0.005912208557128906,0.0011314728712416993,0.0030518531799316405,0.0006428175320242301,entropy,2,4,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 4}",,,,,,,,1
0.0045989036560058595,0.0004894346439283162,0.002400922775268555,0.0004899405712846852,entropy,2,5,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 5}",,,,,,,,1
0.005433845520019531,0.00039939942423636575,0.0032404422760009765,0.0003583591486786429,entropy,2,6,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 6}",,,,,,,,1
0.005421590805053711,0.0004738791124680001,0.002808666229248047,0.000403767747754499,entropy,2,7,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 7}",,,,,,,,1
0.004977607727050781,0.0006224479756708681,0.0030211925506591795,8.635669698544969e-05,entropy,2,8,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 8}",,,,,,,,1
0.005492019653320313,0.0007462740153924506,0.0029041290283203123,0.00026460008847920875,entropy,2,9,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 9}",,,,,,,,1
0.007136678695678711,0.0004577109336275888,0.0036737918853759766,0.0003998129579691205,entropy,2,10,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 10}",,,,,,,,1
0.004799079895019531,0.0007472963799204071,0.0028168201446533204,0.00040654193720497987,entropy,2,11,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 11}",,,,,,,,1
0.005360269546508789,0.00046227220728633643,0.0028315067291259767,0.00041939695521637854,entropy,2,12,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 12}",,,,,,,,1
0.005416584014892578,0.0004760671454218997,0.0030914783477783204,0.000163672199568485,entropy,2,13,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 13}",,,,,,,,1
0.0053328990936279295,0.0006653367733768452,0.0030004501342773436,1.9037689950635082e-06,entropy,2,14,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 14}",,,,,,,,1
0.006009340286254883,1.8163678126088057e-05,0.0029879093170166017,1.5694680549621613e-05,entropy,3,2,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 2}",,,,,,,,1
0.005648660659790039,0.0004382022289654424,0.0024664878845214845,0.00046274503247899993,entropy,3,3,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 3}",,,,,,,,1
0.007217550277709961,0.001439482870031261,0.0032032489776611327,0.0004007552811664792,entropy,3,4,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 4}",,,,,,,,1
0.007323122024536133,0.0004207684305734999,0.003949737548828125,0.000754802685768808,entropy,3,5,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 5}",,,,,,,,1
0.006030464172363281,5.140087816697098e-05,0.0032126903533935547,0.0004164443610062798,entropy,3,6,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 6}",,,,,,,,1
0.006179046630859375,0.0007530260261037648,0.0028431892395019533,0.0004165499253500949,entropy,3,7,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 7}",,,,,,,,1
0.006180620193481446,0.0004273719793726614,0.0028198719024658202,0.0003504216419050837,entropy,3,8,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 8}",,,,,,,,1
0.006090688705444336,0.0001274397062217021,0.002902317047119141,0.00013269045883181022,entropy,3,9,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 9}",,,,,,,,1
0.006419944763183594,0.0004588216337908011,0.0023720264434814453,0.0004556536972343396,entropy,3,10,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 10}",,,,,,,,1
0.007584428787231446,0.001513679085222115,0.0038027286529541014,0.0007492213377637754,entropy,3,11,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 11}",,,,,,,,1
0.008528518676757812,0.002085213660097986,0.0037989139556884764,0.0009837283638827578,entropy,3,12,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 12}",,,,,,,,1
0.006639814376831055,0.0003644147798107175,0.0027016639709472657,0.00039964235703255957,entropy,3,13,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 13}",,,,,,,,1
0.0061985492706298825,0.0004003526768040993,0.002801370620727539,0.0003996849913381978,entropy,3,14,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 14}",,,,,,,,1
0.007045841217041016,9.234263975993415e-05,0.003018474578857422,0.0006669483950403738,entropy,4,2,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 2}",,,,,,,,1
0.007588863372802734,0.000507274891192163,0.0031992912292480467,0.0007470141238786576,entropy,4,3,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 3}",,,,,,,,1
0.009989261627197266,0.001095418898129786,0.004094886779785156,0.0004990402696450851,entropy,4,4,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 4}",,,,,,,,1
0.009588861465454101,0.0008065251744701821,0.0038010597229003905,0.0009809749215367,entropy,4,5,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 5}",,,,,,,,1
0.007995128631591797,0.0010960149018073263,0.003396272659301758,0.00045985298888063397,entropy,4,6,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 6}",,,,,,,,1
0.0072113990783691405,0.0003938737965742051,0.0031926631927490234,0.00040381838121676986,entropy,4,7,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 7}",,,,,,,,1
0.00877242088317871,0.00042968519433544917,0.0034967899322509766,0.0004247888669251738,entropy,4,8,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 8}",,,,,,,,1
0.007279634475708008,0.0006296401848292746,0.003313446044921875,0.0007345330060861412,entropy,4,9,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 9}",,,,,,,,1
0.007335758209228516,0.0013949127638727412,0.0028648853302001955,0.0007797065952649322,entropy,4,10,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 10}",,,,,,,,1
0.006343364715576172,0.0003666705671918569,0.002667522430419922,0.00041597382468812046,entropy,4,11,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 11}",,,,,,,,1
0.006588506698608399,0.0007897240399506985,0.002375173568725586,0.0008127821809042553,entropy,4,12,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 12}",,,,,,,,1
0.006593132019042968,0.00048441491452553816,0.002883768081665039,0.00043187885598114834,entropy,4,13,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 13}",,,,,,,,1
