mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.011185789108276367,0.0017168691074357166,0.0060063362121582035,0.0025990244470933395,entropy,2,2,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 2}",,,,,,,,1
0.00720510482788086,0.0007618648978638638,0.003976058959960937,0.0006162546359849926,entropy,2,3,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 3}",,,,,,,,1
0.006707763671875,0.00039553153935798565,0.0033983230590820313,0.0004905461563953892,entropy,2,4,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 4}",,,,,,,,1
0.0060691356658935545,0.0008906453920832516,0.00311126708984375,0.000679493780302913,entropy,2,5,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 5}",,,,,,,,1
0.005002403259277343,7.68472456581068e-05,0.002989530563354492,0.0004100123338612801,entropy,2,6,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 6}",,,,,,,,1
0.00511016845703125,0.00047756674740744877,0.0024008750915527344,0.0004907582225872556,entropy,2,7,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 7}",,,,,,,,1
0.00499873161315918,2.690646358426263e-06,0.0028008937835693358,0.00040017341959475746,entropy,2,8,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 8}",,,,,,,,1
0.005286073684692383,0.00039545910086971836,0.0030112266540527344,0.0006208663523998303,entropy,2,9,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 9}",,,,,,,,1
0.0058685302734375,0.000493659093789851,0.003507518768310547,0.0004404046051165679,entropy,2,10,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 10}",,,,,,,,1
0.006450271606445313,0.000682224931917691,0.0032009601593017576,0.0003991375223825339,entropy,2,11,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 11}",,,,,,,,1
0.006054544448852539,0.0006045860356120787,0.003179168701171875,0.0004277894968737019,entropy,2,12,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 12}",,,,,,,,1
0.005389165878295898,0.0004991071276802024,0.002878141403198242,0.00046856309150345284,entropy,2,13,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 13}",,,,,,,,1
0.004962730407714844,0.0001364305524853155,0.002778959274291992,0.00039193257121167816,entropy,2,14,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 14}",,,,,,,,1
0.005703115463256836,0.00039799642954746543,0.0028526782989501953,0.0004393989859534753,entropy,3,2,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 2}",,,,,,,,1
0.005922746658325195,0.00017884015209001524,0.0025492191314697267,0.0004388095703632446,entropy,3,3,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 3}",,,,,,,,1
0.006035327911376953,0.0002512964849236935,0.0029203414916992186,0.0002188948696136693,entropy,3,4,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 4}",,,,,,,,1
0.0059792518615722655,3.9227326965734424e-05,0.002820539474487305,0.0004237633716153518,entropy,3,5,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 5}",,,,,,,,1
0.006095314025878906,0.00019663099334997364,0.002904033660888672,0.00019676571944712116,entropy,3,6,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 6}",,,,,,,,1
0.0056626319885253905,0.000554015205302865,0.0027251243591308594,0.00037925839232098976,entropy,3,7,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 7}",,,,,,,,1
0.005866289138793945,0.000255590499271627,0.0032511234283447267,0.0003853645984871148,entropy,3,8,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 8}",,,,,,,,1
0.006012058258056641,2.4955308094511574e-05,0.002987051010131836,2.588949136024279e-05,entropy,3,9,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 9}",,,,,,,,1
0.0060351848602294925,9.267923590285405e-05,0.0025516510009765624,0.00045616707425172494,entropy,3,10,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 10}",,,,,,,,1
0.005983829498291016,2.8256373817581573e-05,0.003112983703613281,0.00022223018139362472,entropy,3,11,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 11}",,,,,,,,1
0.006011152267456054,2.5797991984704293e-05,0.002988767623901367,2.5249596898213963e-05,entropy,3,12,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 12}",,,,,,,,1
0.0057980060577392575,0.0004001387927289715,0.00260162353515625,0.0004900768677770249,entropy,3,13,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 13}",,,,,,,,1
0.006093502044677734,0.00021412404312749116,0.002494335174560547,0.0006240791643227061,entropy,3,14,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 14}",,,,,,,,1
0.007232046127319336,0.00038673244441384463,0.002967548370361328,5.711454284530723e-05,entropy,4,2,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 2}",,,,,,,,1
0.00700068473815918,9.5367431640625e-07,0.0026235103607177733,0.0004682041790345268,entropy,4,3,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 3}",,,,,,,,1
0.006774187088012695,0.00041174462022984743,0.0029619216918945314,7.083791137359912e-05,entropy,4,4,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 4}",,,,,,,,1
0.006812763214111328,0.0003744128402615451,0.0026660919189453124,0.0004247124245202469,entropy,4,5,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 5}",,,,,,,,1
0.007014751434326172,0.00033879798533521777,0.002877616882324219,0.00045776698985486774,entropy,4,6,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 6}",,,,,,,,1
0.00693202018737793,0.00013781146596099925,0.0026063442230224608,0.0004760623931944371,entropy,4,7,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 7}",,,,,,,,1
0.007123088836669922,0.00023104187829761029,0.003220653533935547,0.00039537862684890985,entropy,4,8,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 8}",,,,,,,,1
0.00700836181640625,1.5719289680236128e-05,0.002992105484008789,1.5167919427544437e-05,entropy,4,9,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 9}",,,,,,,,1
0.007002496719360351,5.419178256043777e-05,0.002801036834716797,0.0004021897306908134,entropy,4,10,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 10}",,,,,,,,1
0.007419395446777344,0.0003431990652331974,0.0035617828369140627,0.0005009670882056503,entropy,4,11,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 11}",,,,,,,,1
0.00803823471069336,0.0010370747062691905,0.0033598899841308593,0.0004917870751687928,entropy,4,12,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 12}",,,,,,,,1
0.008401823043823243,0.0012004398082647433,0.004264688491821289,0.0009478494571140398,entropy,4,13,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 13}",,,,,,,,1
0.009944820404052734,0.0002936604881068034,0.003914403915405274,0.0002531826781679851,entropy,4,14,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 14}",,,,,,,,1
0.010632514953613281,0.00040483881922494914,0.0036397933959960937,0.0004031488724074083,entropy,5,2,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2}",,,,,,,,1
0.01092391014099121,0.00027876470411840776,0.0044021129608154295,0.00047132091814596817,entropy,5,3,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 3}",,,,,,,,1
0.009351634979248047,0.0015840165127143369,0.002999114990234375,0.00021196617954629782,entropy,5,4,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 4}",,,,,,,,1
0.008539485931396484,0.0006964690029397729,0.0031924724578857424,0.00038216965954596647,entropy,5,5,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5}",,,,,,,,1
0.009946584701538086,0.001109607966583028,0.0037442684173583985,0.0010650962351301373,entropy,5,6,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 6}",,,,,,,,1
0.010594320297241212,0.0017383408134936966,0.0034241676330566406,0.0005221520600168189,entropy,5,7,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 7}",,,,,,,,1
0.011217498779296875,0.001957179917125452,0.00378265380859375,0.0007417301792244687,entropy,5,8,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 8}",,,,,,,,1
0.007812881469726562,0.00040777873706429764,0.0030031204223632812,3.3784846465908723e-06,entropy,5,9,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 9}",,,,,,,,1
0.00798048973083496,0.0006205342045562634,0.0026979446411132812,0.0005878225419158478,entropy,5,10,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10}",,,,,,,,1
0.008269309997558594,0.0005157987897379489,0.003215456008911133,0.0004343300408240741,entropy,5,11,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 11}",,,,,,,,1
0.010259246826171875,0.0030820840176278854,0.0035694599151611327,0.00045962075199983815,entropy,5,12,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 12}",,,,,,,,1
0.008622026443481446,0.00045184289008126183,0.0028028011322021483,0.00040161597689804875,entropy,5,13,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 13}",,,,,,,,1
0.008452558517456054,0.00048538784975845733,0.0030146121978759767,0.0005992756800516972,entropy,5,14,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 14}",,,,,,,,1
0.010112237930297852,0.00027466678771537423,0.003064727783203125,0.0008254949547261345,entropy,6,2,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 2}",,,,,,,,1
0.008961296081542969,0.0006666375943299066,0.0028012752532958984,0.0004002360346791666,entropy,6,3,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 3}",,,,,,,,1
