mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.007719802856445313,0.0010807360282574592,0.004303503036499024,0.0018361647238418581,entropy,2,2,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 2}",,,,,,,,1
0.005646419525146484,0.0005325960997228537,0.0029526233673095705,9.303121063252531e-05,entropy,2,3,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 3}",,,,,,,,1
0.005609941482543945,0.0004994720352066241,0.0030267715454101564,3.7388533691119904e-05,entropy,2,4,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 4}",,,,,,,,1
0.005637598037719726,0.00044322452214675735,0.003170013427734375,0.0004223073773083385,entropy,2,5,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 5}",,,,,,,,1
0.005386543273925781,0.0005005443573566407,0.003000783920288086,6.641573084442195e-07,entropy,2,6,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 6}",,,,,,,,1
0.00539851188659668,0.0004895904942458347,0.0032160282135009766,0.00039324182527175833,entropy,2,7,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 7}",,,,,,,,1
0.006001424789428711,5.998300626188808e-06,0.00300140380859375,2.78041453115716e-07,entropy,2,8,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 8}",,,,,,,,1
0.005824375152587891,0.0004158295449487575,0.003170680999755859,0.0005729531795568964,entropy,2,9,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 9}",,,,,,,,1
0.005818223953247071,0.00041164047490530444,0.0029974937438964843,5.7864537884416185e-06,entropy,2,10,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 10}",,,,,,,,1
0.005770492553710938,0.00034948147755102624,0.003030538558959961,0.0001190091360167847,entropy,2,11,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 11}",,,,,,,,1
0.005198764801025391,0.00040004473276441675,0.0032259941101074217,0.00039022269431057905,entropy,2,12,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 12}",,,,,,,,1
0.005438661575317383,0.00045097295170250647,0.0029537200927734373,9.474820327336976e-05,entropy,2,13,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 13}",,,,,,,,1
0.00539865493774414,0.00048976521353509,0.003201150894165039,0.000399756755073386,entropy,2,14,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 14}",,,,,,,,1
0.00722208023071289,0.0003914092071603311,0.0031978607177734373,0.00040145484744997075,entropy,3,2,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 2}",,,,,,,,1
0.007831525802612305,0.00034057295475785376,0.00399937629699707,0.0006320482665569448,entropy,3,3,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 3}",,,,,,,,1
0.00892014503479004,0.0007325964523416703,0.004070281982421875,0.00011595842447299473,entropy,3,4,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 4}",,,,,,,,1
0.006998825073242188,5.256899895696172e-06,0.0030327796936035155,6.019086568739394e-05,entropy,3,5,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 5}",,,,,,,,1
0.007160806655883789,0.0014764164143520673,0.0034001350402832033,0.0004896483895696132,entropy,3,6,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 6}",,,,,,,,1
0.006956863403320313,6.706192089137722e-05,0.0032335758209228516,0.00038636528087534485,entropy,3,7,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 7}",,,,,,,,1
0.007119989395141602,0.00012967144433797208,0.003166484832763672,0.0004210726286407897,entropy,3,8,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 8}",,,,,,,,1
0.006801128387451172,0.00033097050406006385,0.003167724609375,0.00033936017142740637,entropy,3,9,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 9}",,,,,,,,1
0.006832504272460937,0.00042601936671327967,0.002959585189819336,8.231714869035219e-05,entropy,3,10,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 10}",,,,,,,,1
0.006598901748657226,0.0004905267766060779,0.003238964080810547,0.0004047915937790563,entropy,3,11,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 11}",,,,,,,,1
0.00695948600769043,5.726720966401694e-05,0.003219413757324219,0.00043473851719653034,entropy,3,12,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 12}",,,,,,,,1
0.007315874099731445,0.0008917445402938577,0.003039836883544922,6.396766478472927e-05,entropy,3,13,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 13}",,,,,,,,1
0.006833314895629883,0.0004155110130609326,0.002996540069580078,4.395186852189221e-06,entropy,3,14,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 14}",,,,,,,,1
0.007626152038574219,0.0004567399747773707,0.0032082080841064455,0.00039589599685282436,entropy,4,2,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 2}",,,,,,,,1
0.007596445083618164,0.0004840703107881079,0.0033949851989746095,0.0005008126852440115,entropy,4,3,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 3}",,,,,,,,1
0.008035993576049805,0.00014336334176314283,0.003210020065307617,0.00040452500480632887,entropy,4,4,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 4}",,,,,,,,1
0.007996368408203124,6.358941298740254e-06,0.0031997203826904298,0.00039939940146480746,entropy,4,5,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 5}",,,,,,,,1
0.00799112319946289,1.553523459953097e-05,0.0030011653900146483,6.468133910298603e-07,entropy,4,6,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 6}",,,,,,,,1
0.007957124710083007,8.23270918894427e-05,0.0032016754150390623,0.0004002096683379206,entropy,4,7,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 7}",,,,,,,,1
0.007621335983276367,0.0004607904325583153,0.0033886909484863283,0.00045805714061436005,entropy,4,8,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 8}",,,,,,,,1
0.008064556121826171,0.0001735785764476859,0.0030054092407226563,5.306835539226624e-06,entropy,4,9,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 9}",,,,,,,,1
0.009203290939331055,0.001171578510876493,0.0034080982208251954,0.0005005554228325173,entropy,4,10,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 10}",,,,,,,,1
0.008037996292114259,0.000538851378695059,0.0034065723419189455,0.00048269821603560904,entropy,4,11,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 11}",,,,,,,,1
0.007802724838256836,0.00039971578374529916,0.003202199935913086,0.00039609003155390894,entropy,4,12,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 12}",,,,,,,,1
0.007964372634887695,7.385267083298143e-05,0.003019571304321289,3.9150334398704334e-05,entropy,4,13,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 13}",,,,,,,,1
0.007799196243286133,0.00040481043856082906,0.002979612350463867,4.316748616896739e-05,entropy,4,14,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 14}",,,,,,,,1
0.008998537063598632,6.5755135253670505e-06,0.0030011653900146483,3.6076126707797497e-06,entropy,5,2,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2}",,,,,,,,1
0.008802461624145507,0.00039963834027560794,0.003195333480834961,0.00040005595792680506,entropy,5,3,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 3}",,,,,,,,1
0.00900125503540039,2.0509541671377722e-06,0.00342411994934082,0.000472649650402043,entropy,5,4,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 4}",,,,,,,,1
0.009566402435302735,0.0012141210698945885,0.0029949188232421876,1.3665856799412655e-05,entropy,5,5,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5}",,,,,,,,1
0.009018468856811523,3.7834376811305944e-05,0.0031867027282714844,0.0004057003849158143,entropy,5,6,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 6}",,,,,,,,1
0.008602523803710937,0.000490301639607122,0.003422117233276367,0.0004748872130797848,entropy,5,7,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 7}",,,,,,,,1
0.00951371192932129,0.0007590402952729363,0.00302581787109375,5.327989016024926e-05,entropy,5,8,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 8}",,,,,,,,1
0.008915233612060546,0.0002356303928678047,0.0029750823974609374,4.326823631623395e-05,entropy,5,9,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 9}",,,,,,,,1
0.008800458908081055,0.00039981160446055417,0.0030031681060791017,6.847886303335664e-06,entropy,5,10,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10}",,,,,,,,1
0.008699798583984375,0.00039134001461694205,0.0031888484954833984,0.0004070356669093789,entropy,5,11,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 11}",,,,,,,,1
0.008951663970947266,9.824292067142567e-05,0.0031916618347167967,0.000384120741799186,entropy,5,12,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 12}",,,,,,,,1
0.009221458435058593,0.0006210556885678342,0.0030896663665771484,0.0004811557945504704,entropy,5,13,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 13}",,,,,,,,1
0.008818101882934571,0.0004110910570250951,0.003045988082885742,8.705659757989841e-05,entropy,5,14,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 14}",,,,,,,,1
0.01042313575744629,0.00047530173576074993,0.0030044078826904296,6.02892658409066e-06,entropy,6,2,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 2}",,,,,,,,1
0.009786272048950195,0.0004019715070380511,0.003212451934814453,0.0003933821301547952,entropy,6,3,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 3}",,,,,,,,1
