mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.007403087615966797,0.0010967159830595804,0.004800939559936523,0.0022837135718236133,entropy,2,2,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 2}",,,,,,,,1
0.006288337707519531,0.0004024966719729612,0.0033025741577148438,0.000446075745758178,entropy,2,3,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 3}",,,,,,,,1
0.007189798355102539,0.0009721917825945447,0.004225683212280273,0.0009432347441141507,entropy,2,4,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 4}",,,,,,,,1
0.006303739547729492,0.00040302527666551146,0.0032187938690185548,0.0004146951250024892,entropy,2,5,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 5}",,,,,,,,1
0.00621795654296875,0.00027886792964035615,0.0036421775817871093,0.0003694365730930143,entropy,2,6,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 6}",,,,,,,,1
0.005982208251953125,2.275087975718722e-05,0.0032644271850585938,0.0003737582754075161,entropy,2,7,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 7}",,,,,,,,1
0.005795335769653321,0.00039966593901936915,0.0032355785369873047,0.00042586638669771395,entropy,2,8,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 8}",,,,,,,,1
0.005922269821166992,0.00017197972818807928,0.0030017375946044924,4.862803948967728e-07,entropy,2,9,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 9}",,,,,,,,1
0.006058835983276367,4.40026921111074e-05,0.003376674652099609,0.00046876151973662005,entropy,2,10,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 10}",,,,,,,,1
0.005735206604003906,0.00042139487747117147,0.003385448455810547,0.0005074830851942709,entropy,2,11,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 11}",,,,,,,,1
0.006002044677734375,7.747460794506251e-05,0.003038835525512695,9.22359366519692e-05,entropy,2,12,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 12}",,,,,,,,1
0.006115341186523437,0.00015498349074363142,0.0028850555419921873,0.00015532624781723183,entropy,2,13,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 13}",,,,,,,,1
0.00583353042602539,0.0003938349497931045,0.0031954288482666016,0.0004312420090659089,entropy,2,14,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 14}",,,,,,,,1
0.00660395622253418,0.0004892148465503899,0.003195953369140625,0.0003979698576943245,entropy,3,2,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 2}",,,,,,,,1
0.0067596912384033205,0.0003955463933579027,0.003055715560913086,0.0001097868862376964,entropy,3,3,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 3}",,,,,,,,1
0.006784868240356445,0.00041132542084179916,0.0029650211334228517,6.54312675044216e-05,entropy,3,4,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 4}",,,,,,,,1
