mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.008285999298095703,0.0008769996610084818,0.0043212890625,0.0016610022834227572,entropy,2,2,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 2}",,,,,,,,1
0.006869029998779297,0.000721548144347992,0.0031585216522216795,0.00042627301481318493,entropy,2,3,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 3}",,,,,,,,1
0.006107425689697266,0.00015974049069987625,0.0029191493988037108,0.00016424679275088534,entropy,2,4,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 4}",,,,,,,,1
0.0060081958770751955,1.8695665509372864e-05,0.0030228614807128905,6.967379037816173e-05,entropy,2,5,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 5}",,,,,,,,1
0.006143045425415039,0.00044428403482950455,0.0031995773315429688,0.0007478864086262821,entropy,2,6,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 6}",,,,,,,,1
0.006798601150512696,0.00039928865940657397,0.003191375732421875,0.0004031987264230669,entropy,2,7,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 7}",,,,,,,,1
0.007368898391723633,0.0007691830712521383,0.0037197589874267576,0.0009101201783105003,entropy,2,8,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 8}",,,,,,,,1
0.009994220733642579,6.230712747766297e-06,0.005037927627563476,6.722940604836682e-05,entropy,2,9,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 9}",,,,,,,,1
0.009859657287597657,0.0002785544814838581,0.004799413681030274,0.00040021594619577027,entropy,2,10,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 10}",,,,,,,,1
0.012039804458618164,0.0008585049029916181,0.005557727813720703,0.0007924172145744049,entropy,2,11,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 11}",,,,,,,,1
0.010009431838989257,0.001092491233734705,0.005131387710571289,0.00026939837660841314,entropy,2,12,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 12}",,,,,,,,1
0.00798935890197754,0.0006068811136972761,0.0038346767425537108,0.000420942579728365,entropy,2,13,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 13}",,,,,,,,1
0.005789899826049804,0.00039522968226389255,0.002400922775268555,0.0004918882205094733,entropy,2,14,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 14}",,,,,,,,1
0.009198141098022462,0.0009792384048846207,0.003607654571533203,0.0008121554618347452,entropy,3,2,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 2}",,,,,,,,1
0.009806013107299805,0.0007507098729296355,0.003794097900390625,0.0007468351167707523,entropy,3,3,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 3}",,,,,,,,1
0.008880853652954102,0.0010105402117740441,0.0033960819244384767,0.00046807947710090337,entropy,3,4,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 4}",,,,,,,,1
0.006991338729858398,1.6856986004278014e-05,0.0028012275695800783,0.00040032952716753916,entropy,3,5,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 5}",,,,,,,,1
0.007762241363525391,0.0007273471100966507,0.003591108322143555,0.00048417762810374964,entropy,3,6,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 6}",,,,,,,,1
0.007866573333740235,0.0007898734682773754,0.003201580047607422,0.0003999125420183499,entropy,3,7,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 7}",,,,,,,,1
0.007797908782958984,0.0007484440865500522,0.0036011219024658205,0.0004899210097453709,entropy,3,8,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 8}",,,,,,,,1
0.008757257461547851,0.0011726746653444007,0.0036081790924072264,0.0005204086012341901,entropy,3,9,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 9}",,,,,,,,1
0.008994817733764648,2.794688846987267e-05,0.0038325309753417967,0.00041818184888409203,entropy,3,10,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 10}",,,,,,,,1
